S.No,Image Name,Refererence Caption,M1-Caption,M2-Caption,M3-Caption,
,,,,,,
1,103106960_e8a41d64f8,group of people standing,group of people standing,people are gathered in one place,"A group of people stand in front of the building, some holding files in their hands, as they look confidently into the camera.",
2,103106960_e8a41d64f9,people are sitting ,people are sitting ,people sitting around a table ,"The room is filled with natural light coming from the windows, a group of people is sitting around a table, sipping tea and engaging in conversation.  while other people sitting on chairs behind them nearby window.",
3,103106960_e8a41d64f10,Children are playing,Children are playing,group of children are standing together,Two children are standing with smiles on their faces.,
4,103106960_e8a41d64f11,person standing on chair,person standing on chair,boys are standing on hill,"under a cloudy sky, 3 young boys standing on a hill, while others are behind them",
5,103106960_e8a41d64f12,person of beside bike a stream,person of beside bike a stream,a herd of animals walking along a dirt road ,"Under a cloudy sky, the hills are blanketed with lush green trees while a bridge over the river with dirty water flowing rapidly below.",
6,103106960_e8a41d64f13,person are sitting and watch to camera,person are sitting and watch to camera,people are sitting for eating,"In the room with three doors, furnished with a comfortable sofa, a desk, and a bed. People are sitting on the floor around the food, while two people hold bottles and one person stands and smiles. Everyone is enjoying the party.",
7,103106960_e8a41d64f14,person around beside bike around stream,person around beside bike around stream,people sitting around a table ,"Under the sunny sky, there is an area surrounded by white walls where people are sitting on chairs and some are standing, all engaged in some work.",
8,103106960_e8a41d64f15,person sit on sofa,person sit on sofa,a man sitting on coach,"A man wearing a white cap and glasses is sitting on a chair and working on his laptop, which is placed on a desk.",
9,103106960_e8a41d64f16,people setting on table,people setting on table,four person are sitting on coach,"In a room with a board on the wall, four individuals are sitting on a sofa, engaged in a discussion about a project, as they examine a toy car that appears to be the subject of their conversation.",
10,103106960_e8a41d64f17,people standing together,people standing together,a crowd of people standing around a building ,"Several men and two women are standing on a stair in front of a building, with some holding files in their hands, as they all confidently look towards the camera.",
11,103106960_e8a41d64f18,dog is running in the snow,dog is running in the snow,men standing next to each other ,Five men are standing in front of a projector screen while light falls on their mouths.,
12,101654506_8eb26cfb60,dog is running in the snow,dog is running in the snow,a dog running through the snow with its tongue out ,the white and brown dog is running over the surface of the snow.,
13,101669240_b2d3e7f17b,man on skis looking at artwork for sale in the snow,man on skis looking at artwork for sale in the snow,two people standing in the snow with skis ," A person wearing skis is examining framed pictures that have been arranged in the snow, while another person is gazing at the stem of a nearby tree",
14,102351840_323e3de834,man drilling hole in the ice,man drilling hole in the ice,a man standing next to a skier in the snow ,"In front of a skis vehicle motorcycle, a man is drilling into the frozen ice of a pond while another man watches, with the snow-covered surface all around them",
15,102455176_5f8ead62d5,climber climbing an ice wall,climber climbing an ice wall,a man is in the snow with a pair of skis ,An ice climber in a blue jacket and black pants is scaling an ice wall,
16,103106960_e8a41d64f8,young kid playing the goalie in hockey rink,young kid playing the goalie in hockey rink,a little boy holding a baseball bat on a fence ,"The child, dressed in a red jacket and jeans, is kneeling in front of the goalie net with a hockey stick in his right hand",
17,103195344_5d2dc613a3,man sitting in front of metal sculpture in front of building,man sitting in front of metal sculpture in front of building,a man sitting on bench,man sits and reads newspaper by sculpture outside of an office building,
18,103205630_682ca7285b,tent is being set up on the ice,tent is being set up on the ice,two men are standing outside a tent ,Two men are standing outside a blue tent structure on a snowy surface,
19,104136873_5b5d41be75,people overlook green valley,people overlook green valley,people are sitting on a hillside  ,"Three person are on the top of a hill, admiring the stunning view of the green valley and mountains in the distance",
20,105342180_4d4a40b47f,woman with paddle sits in boat on the water,woman with paddle sits in boat on the water,a man in a wet suit holding a paddle ,"The serene scene depicted a blue cloudy sky, trees lining the riverbank, and a girl paddling down the river, as viewed from behind her",
21,106490881_5a2dd9b7bd,the boy is playing on the shore of an ocean,the boy is playing on the shore of an ocean,a young boy standing on a beach holding a surfboard ,young boy in swimming trunks is walking with his arms outstretched on the beach,
22,106514190_bae200f463,hiker standing high on bluff overlooking the mountains below,hiker standing high on bluff overlooking the mountains below,a person on a snowboard,skier is overlooking the beautiful white snow covered landscape,
23,107318069_e9f2ef32de,group of hot air balloons lit up at night,group of hot air balloons lit up at night,a crowd of people standing around a large group of balloons ,"At the park at night, seven air balloons are brightly lit up, captivating the attention of the people who gaze up at them.",
24,107582366_d86f2d3347,person gathered beside bike around stream,person gathered beside bike around stream,people are gathered around a table ,"As the light bulb flickered under the wooden roof, the people gathered around the dinner table engaged in lively discussions with each other",
25,10815824_2997e03d76,girl holding horse lead behind fire,girl holding horse lead behind fire,a man is holding a hose to a horse ,"A girl wearing a black shirt is standing behind a fire, holding a horse, while a person in a blue shirt and pants, along with their horse, watches the fire.",
26,108898978_7713be88fc,two men are skiing in the snow in wooded area,two men are skiing in the snow in wooded area,people on skis standing on a snowy slope ,Two men clad in yellow jackets are skiing through a snow-covered wooded area,
27,108899015_bf36131a57, people climbing up snowy mountain, people climbing up snowy mountain,a person on skis on a snowy slope ,"under the sunney sky, two people are climbing up the hills covered with white snow",
28,109202756_b97fcdc62c,woman blue jacket sits on daft horse near frozen lake,woman blue jacket sits on daft horse near frozen lake,a woman riding a horse on a snowy surface ,"The woman, donning a blue jacket and blue jeans, elegantly rides her brown horse near a frozen lake, with the majestic backdrop of mountains and trees.",
29,109202801_c6381eef15,two horses are pulling woman in cart,two horses are pulling woman in cart,two horse pulling a carriage with people ,two horses pull carriage driven by woman over snow covered ground,
30,109260216_85b0be5378,person wearing red vest climbs up steep rock,person wearing red vest climbs up steep rock,a man is standing on a ladder in a mud pit ,"A person wearing a red vest is climbing a tall, flat mountain while holding onto a safety rope.",
31,109260218_fca831f933,shaft of light in cave shows spelunkers,shaft of light in cave shows spelunkers,people are standing on a rock,"Three people with yellow helmets are in a spelunking pose inside a rocky cavern, with sunlight shining down on them",
32,109671650_f7bbc297fa,boy in yellow shorts is standing on top of cliff,boy in yellow shorts is standing on top of cliff,a young boy standing on the top of  cliff,boy wearing blue shirt and yellow shorts standing on the top of cliff edge,
33,109738763_90541ef30d,snowmobiler flies through the air,snowmobiler flies through the air,a motorcycle is going down a hill in the woods ,snowmobile rider flies through the air on his or her yellow machine in front of tall pine trees,
34,109738916_236dc456ac,people pose with helmets and goggles on while riding snowmobiles,people pose with helmets and goggles on while riding snowmobiles,two people riding on top of a snow ,"In a snowy area, two men wearing helmets are comfortably seated on yellow snowmobiles, while another man stands behind them, attentively observing. The background green tree, adds a touch of natural beauty to the scene.",
35,109823394_83fcb735e1,three people on atvs in brown field turn their heads to look at the camera,three people on atvs in brown field turn their heads to look at the camera,a man riding a dirt bike on top of a field ,Three people riding four wheeler on a brown field turn their heads towards the right side.,
36,109823395_6fb423a90f,man on four wheeler is flying through the air,man on four wheeler is flying through the air,a person on a dirt bike ,"A person is riding an orange ATV, jumping in an empty field.",
37,109823397_e35154645f,man on fourwheeler jumps near small building,man on fourwheeler jumps near small building,a motorcycle is jump in front of small room,person dressed in tan jacket jumps quad over harvested cornfield in front of small out building,
38,110595925_f3395c8bd6,the biker is riding around curve in the road,the biker is riding around curve in the road,a man riding a bike down a road ,undre a sunny sky a person wearing a pink shirt and black jeans is riding a bicycle on a curvy road surrounded by green hills.,
39,111497985_38e9f88856,woman in striped shirt climbs up mountain,woman in striped shirt climbs up mountain,a woman climb up the mountain,A woman in the striped shirt is grippe the rope tightly as she climbs up the mountain,
40,111537217_082a4ba060,man climbing rock wall,man climbing rock wall,a man is kneeling down on a rock ,young man with the white tshirt and grey pants  is rappeling up the rock wall,
41,111537222_07e56d5a30,rock climber climbs large rock,rock climber climbs large rock,a person is standing on rock,A person dressed in a blue helmet and purple pants is climbing a rock,
42,111766423_4522d36e56,black and white bird eating seeds out of someone hand,black and white bird eating seeds out of someone hand,a small bird is eating a piece of food ,black and white bird standing on hand of someone holding sunflower seeds,
43,112178718_87270d9b4d,man with his surfboard stands in the sand,man with his surfboard stands in the sand,a man holding a surfboard on a beach ,under the sunny sky the guy with a white shirt and blue shorts stands in the sand with a snowboard in his hand,
44,112243673_fd68255217,three people are riding around on atv ,three people are riding around on atv ,a man and a woman are sitting in a field ,"three people are riding on their ATVs, traveling along a well-worn path in a field that is surrounded by trees",
45,113678030_87a6a6e42e,the snowboarder is sitting down,the snowboarder is sitting down,a man on a snowboard in the snow ,A person is taking a rest while sitting on a snowy mountain slope with skiers and snowboarders nearby,
46,114051287_dd85625a04,boy dressed in soccer attire and holding his shoes getting out of car,boy dressed in soccer attire and holding his shoes getting out of car,a man in a red shirt and jeans is sitting in a truck ,boy in red soccer strip is holding his boots in his hand whilst stepping out of car,
47,115684808_cb01227802,three men are setting up sledge on snowy plain,three men are setting up sledge on snowy plain,two people are standing in the snow with snowboards ,one person is seated on a snowboard while two people are standing in the snow and looking at the snowboard..,
48,116409198_0fe0c94f3b,young man in hooded jacket sitting on snow in mountain area,young man in hooded jacket sitting on snow in mountain area,a person sitting on a snow covered slope ,"Under a clear blue sky, a person dressed in a hooded jacket is sitting on the snow in front of a yellow tent, while another person stands nearby engaged in work, ",
49,118309463_a532b75be9,three boys wearing florida marlins hats,three boys wearing florida marlins hats,a boy in a baseball uniform with a hat on ,small boy smiles as he stands with others wearing the same black hats,
50,121800200_bef08fae5f,group of rock climbers climb rock wall in forest,group of rock climbers climb rock wall in forest,a mountain range with a mountain range , the mountain surrounded by pretty green trees,
51,121971540_0a986ee176,two people stand on the side of large white and red boat,two people stand on the side of large white and red boat,a man is standing on a boat,"under a sunney sky two people are standing outside the large white ship, cleaning windows as it sails across the ocean",
52,123889082_d3751e0350,two dogs are playing together on green grass,two dogs are playing together on green grass,two dogs are playing together in the grass ,"Two dogs are playing in a grassy field, where a brown dog is seen biting the other gray dog's ear.",
53,124195430_d14028660f,large brown horse stands over small black colt that is kneeling on the sand,large brown horse stands over small black colt that is kneeling on the sand,horses are standing on the ground, horse stands near black horse that is sitting on the ground,
54,124881487_36e668145d,man on bicycle riding down rocky hill,man on bicycle riding down rocky hill,a man riding a bike down a trail ,A person in a blue shirt and helmet is rides bicycle down rocky hill while small trees covering the slope.,
55,124972799_de706b6d0b,dog toys with cat hiding under bench,dog toys with cat hiding under bench,a dog playing with cat,A cat is hiding under the bench while a dog is panting with an open mouth,
56,125319704_49ead3463c,person standing beside bike in stream,person standing beside bike in stream,a man riding a bike next to a river ,"Two cyclists are carefully crossing a stream, their bicycles in hand, as they navigate the rocky riverbed",
57,127450902_533ceeddfc,winter landscape with four people walking in the snow,winter landscape with four people walking in the snow,a person on skis on a snowy slope ,Four people walk on the snow-covered mountain during sunset.,
58,127488876_f2d2a89588,one man in red shirt and black pants with man in white shirt and tan shorts golfing,one man in red shirt and black pants with man in white shirt and tan shorts golfing,a man and woman are standing in a field ,"Two men stand on the grassy ground with trees covering the side area, and they are looking at the distance of the golf score",
59,127490019_7c5c08cb11,woman wearing blue shirt and hat with khaki shorts plays golf,woman wearing blue shirt and hat with khaki shorts plays golf,a people standing  green field ,"Beneath the bright and sunny sky  woman in shorts and blue sleeveless shirt confidently stands on a verdant green field, is ready to swing the club",
60,12830823_87d2654e31,children sit and watch the fish moving in the pond,children sit and watch the fish moving in the pond,people are playing in a pool ,there are several people and children looking into water with blue tiled floor and goldfish,
61,128912885_8350d277a4,the dog is playing with red ball,the dog is playing with red ball,a dog jumping up to catch a ball,white dog is jumping in the air attempting to catch red ball,
62,129599450_cab4e77343,hiker with an american flag on his backpack walks through the woods,hiker with an american flag on his backpack walks through the woods,a woman walking down a path,"A man is hiking along a mountain path covered with trees, with an American flag proudly displayed on his backpack",
63,132489044_3be606baf7,man who has fallen asleep on public transportation,man who has fallen asleep on public transportation,a man in a suit is looking at his phone ,man sleeping with bag on his lap on public transportation,
64,133189853_811de6ab2a,one man kissing another man on the check and both are in white shirts with black vests,one man kissing another man on the check and both are in white shirts with black vests,two men in suits are posing for a picture ,man wearing tuxedo shirt vest and bowtie is laughing while being kissed on the cheek by another man wearing the same thing.,
65,133905560_9d012b47f3,puppy plays with an adult dog in the snow,puppy plays with an adult dog in the snow,two dogs are playing in the snow together ,The adorable light brown puppy was playing with an adult dog in the pristine white snow,
66,134724228_30408cd77f,two women walking on road ,two women walking on road ,two women are walking down a road ,"Two young women are strolling along a serene rural path that is bordered by tall trees, while another man wearing blue pants walks far behind them.",
67,134894450_dadea45d65,the boy is jumping ,the boy is jumping ,a man jumping over a log in a forest ,boy wearing no shirt and some blue jeans is jumping in the air in the woods,
68,135235570_5698072cd4,man is being thrown frisbee in front of monument and flags,man is being thrown frisbee in front of monument and flags,a man standing in front of a large building with a frisbee ,"The man stands on the green grassy ground, attempting to catch a frisbee, while a building is situated to his right, people are walking on the building side, and a flag is hanging on the surrounding of the ground.",
69,136552115_6dc3e7231c,helmeted man jumping off rock on mountain bike,helmeted man jumping off rock on mountain bike,a man riding a bike down a trail ,mountain biker is jumping his bike over rock as another cyclist stands on the trail watching,
70,136639119_6040b00946,man is rock climbing under large cliff,man is rock climbing under large cliff,a man climbing up a tree,climber is attempting to climb around an overhang above the woods and skillfully using a rope to assist his ascent.,
71,136644343_0e2b423829,young boy smiles at the camera from the tire swing,young boy smiles at the camera from the tire swing, boy is sitting on a wooden bench ,"In the park, a boy rides on a tire swing and beams with delight, flashing a broad smile",
72,136644885_f7d2bbf546,woman is crossing rope bridge in the trees with other people waiting at one end,woman is crossing rope bridge in the trees with other people waiting at one end,a man is climbing a tree ,"A woman dressed in a white shirt and jeans is crossing a rope bridge nestled among the trees in a forest, while other people wait for her at one end",
73,136886677_6026c622eb,two men paddling canoe down narrow stream,two men paddling canoe down narrow stream,a man riding a canoe through a river ,two men are paddling down a river with lush green trees flanking both sides.,
74,138705546_be7a6845dd,two girls sit along lake while man in the background fishes,two girls sit along lake while man in the background fishes,two girls sitting on a rock near a body of water ,two girls in bathing suits sit on the shore of lake watching someone fishing from boat,
75,138718600_f430ebca17,two girls are sitting on path by river with their bicycles parked beside them,two girls are sitting on path by river with their bicycles parked beside them,a woman sitting on a bench next to a bike ,"Set amidst a pond surrounded by trees, two women dressed in white shirts are sitting on the grass with a bicycle standing behind them",
76,140377584_12bdbdf2f8,gentleman is rock climbing,gentleman is rock climbing,a man is climbing up a rock on a leash ,climber in an orange helmet is ascending attached to rope whilst climbing rock fac,
77,140430106_2978fda105,dog is running along beach on sunny day,dog is running along beach on sunny day,a dog running on a beach with a person ,"A dog is running on the beach, with the vast expanse of the bright blue ocean and cloudy sky in the background",
78,140526326_da07305c1c,rock climber pauses to look out over the ocean,rock climber pauses to look out over the ocean,a man is climbing up a mountain on a bike ,"A man stands on top of a mountain, with a harness and rope attached to his waist, gazing out at a stunning view of a serene lake and lush green forest below",
79,140526327_3cb984de09,man rock climbing near the ocean,man rock climbing near the ocean,a man sitting  near a river ,man looks up at the cliff he is climbing near the beautiful blue ocean,
80,141139674_246c0f90a1,boy swings baseball bat and catcher stands behind him,boy swings baseball bat and catcher stands behind him,a woman swinging a bat at a ball ,the boy in the blue shirt is swinging baseball bat towards ball as the boy in the red helmet waits to catch him out,
81,141755290_4b954529f3,woman in an red tracksuit squeezing lemons in press,woman in an red tracksuit squeezing lemons in press,a woman in a red shirt talking on a cell phone ,A woman wearing a red tracksuit and a floral necklace smiles as she squeezes lemons into a press to make a drink.,
82,141755292_7a0b3364cf,young man and young woman serve food,young man and young woman serve food,a woman and a man are preparing food at a table ,"A young man and woman are standing beside a pot of food, serving it to others..",
83,142802798_962a4ec5ce,boy in green shirt on skateboard on stone wall with graffiti,boy in green shirt on skateboard on stone wall with graffiti,a man riding a skateboard down a ramp ,"A man wearing a green t-shirt is standing with his skateboard on a stone wall that has graffiti on it, and there is a blue window behind him.",
84,143237785_93f81b3201,man holds large fish on boat,man holds large fish on boat,a person holding a green and white fish ,"The man in blue jeans and a white striped shirt is holding a fish in both hands, with the vast sea visible in the background.",
85,143552697_af27e9acf5,man riding his bike on hill,man riding his bike on hill,a man riding a dirt bike on a trail ,A man wearing a blue helmet and black cycling outfit rides his bike through a dry field in a hilly area.,
86,143552829_72b6ba49d4,man rides his bike over rocks and creek,man rides his bike over rocks and creek,a man riding a bike on a river ,boy in black helmet and red shirt rides his motorbike over rocky stream,
87,143680442_2f03f76944,man is hanging from cliff while rock climbing high above,man is hanging from cliff while rock climbing high above,a man is climbing up a rock on a rock wall ,"man is hanging under the edge of a rocky cliff, with a magnificent mountain and forest below them",
88,143680966_0010ff8c60,man wearing backpack is climbing rock,man wearing backpack is climbing rock,a man on a rock climbing up a mountain ,under the sunny sky person is climbing up the rocky hills and looking up to see the steep incline of the hill.,
89,143684568_3c59299bae,man standing on cliff,man standing on cliff,a man standing on top of a rock looking at a mountain ,a person is standing at the top of a rocky cliff overlooking green valley,
90,143688283_a96ded20f1,man with white shirt and helmet is climbing mountain,man with white shirt and helmet is climbing mountain,a man is climbing up a tree with a rope ,"In the forest, a man wearing a white shirt is seen climbing a mountain using climbing equipment.",
91,145721496_687af9bb18,bird is standing on rock overlooking waterfall,bird is standing on rock overlooking waterfall,a bird standing on top of a rock near a waterfall ,longnecked bird standing on rock with waves crashing in the background,
92,145721498_a27d2db576,man paddling in blue kayak in the water,man paddling in blue kayak in the water,a man in a wetsuit is surfing in the ocean , man in his blue kayak was paddling fiercely through the fast-moving water,
93,146098876_0d99d7fb98,four children in uniforms stand in front of palm trees,four children in uniforms stand in front of palm trees,a small group of children are walking down the street ,boy and three girls in blue school uniforms walk down dirt covered road,
94,146100443_906d87faa2,girl and two boys dressed up for halloween,girl and two boys dressed up for halloween,a woman and a boy are playing with a toy ,young girl with her face painted stands next to some other children,
95,146577645_91b570c0d0,man with red helmet kayaking,man with red helmet kayaking,a man in a wet suit is paddling a paddle ,a man with a red helmet is paddling through fast-moving waters in his kayak.,
96,146577646_9e64b8c2dc,man swim in water rapids,man swim in water rapids,a man is in the water on a paddle board ,the man was paddling his kayak in the fast-flowing water.,
97,148512773_bae6901fd6,two people are sitting on rock overlooking the river,two people are sitting on rock overlooking the river,two people sitting on a rock near a river ,"under the sunny sky, a river meanders through the lush green forested mountains and two individuals sitting on a rocky outcropping, enjoying the beautiful natural environment around them.",
98,150387174_24825cf871,man is riding dirt bike over some rocks,man is riding dirt bike over some rocks,a person riding a bike on a dirt field , man wearing a white helmet and camouflage gear rides his motorbike on a rocky hill path,
99,150582765_bad8dec237,woman takes picture during the day,woman takes picture during the day,a woman takes a picture,"   a woman with vibrant red curly hair, dressed in a pink hoodie, holds a camera in her hand as she takes a picture",
100,152029243_b3582c36fa,young man with his dirt bike,young man with his dirt bike,a man riding a bike on top of a rock , young man with a red shirt and a white helmet is riding his motorcycle in a rocky stream,
101,154871781_ae77696b77,two boys are kicking ball to each other in the park,two boys are kicking ball to each other in the park,two children playing with a frisbee in a park ,"Under a tree, two boys are kicking a soccer ball on the grassy ground surrounded by trees.",
102,155221027_b23a4331b7,two people are landing from their sky diving exercises,two people are landing from their sky diving exercises,a man and a woman flying a kite on a beach ,Two individuals have just landed in a field after completing their skydiving exercises with their brightly colored parachutes,
103,156967462_72db9b722c,couple dogs in and around small lake of water near highway,couple dogs in and around small lake of water near highway,a dog running across a river with a bridge ,"Under the overpass, a dog swims with a stick in its mouth, while two other dogs, one brown and the other black, run alongside the nearby river",
104,157139628_5dc483e2e4,couple sit on car with their backs to the camera,couple sit on car with their backs to the camera,a man on a skateboard on the beach ,man wear blue shirt with white covering on is face spraying water on mound of sand with heart drawn that says open up,
105,160566014_59528ff897,couple sit on car with their backs to the camera,couple sit on car with their backs to the camera,a man and woman are standing in the street ,"On the street, several cars are parked, while men and women sit on the hood of one car, watching as other cars pass by.",
106,160792599_6a7ec52516,group of people stand in the sand looking out at the water,group of people stand in the sand looking out at the water,people standing on a beach ,three men and two women stand facing the ocean from the shore on sunny day,
107,160805827_5e6646b753, man in grey shirt is on boat with flag, man in grey shirt is on boat with flag,a man sitting on a boat in the ocean ,"A man wearing a gray shirt sits on a sailboard with the American flag hanging on it, as the sun sets in the background and the river shines.",
108,161669933_3e7d8c7e2c,man rides motorcycle ,man rides motorcycle ,a man riding a motorcycle down a street ,"A man with a red helmet is riding a motorcycle with the number 5 on it, making a left turn on a paved road",
109,161905204_247c6ca6de,girl  windbreaker walks on beach,girl  windbreaker walks on beach,a woman walking down a road with a skateboard ,under a cloudy sky a girl in an aqua jacket walks down long road surrounded by shrubs,
110,166321294_4a5e68535f,man is riding on red motorcycle,man is riding on red motorcycle,a man riding a motorcycle down a street ,"a man wearing an orange suit rides a red motorcycle at high speed on the road, taking a sharp turn",
111,166433861_70b66cd381,motorcyclist is driving down road on their motorbike,motorcyclist is driving down road on their motorbike,a man riding a motorcycle down a street ,"a man with red helmet rides a blue motorcycle at high speed on the road, taking a sharp turn",
112,166507476_9be5b9852a,two lizards fight in the water,two lizards fight in the water,a large elephant in the water ,two oriental lizards are fighting for dominance in small pond,
113,166654939_80ea4ddbcc,cars racing on dirt track,cars racing on dirt track,a row of car are parked on a dirt road ,two lines of colorful race cars are racing each other on racetrack and the green one is in the lead,
